Zip Code,City,State,Metro,CountyName,SizeRank,Rent per Square Foot,Price per Sqft,Rent Based Estimate,Sale Based Estimate,Exact Average,Abodu Estimate
10025,New York,NY,New York-Newark-Jersey City,New York County,1,4.426,1302,"191,203",585900,"388,552","$390,000 "
60657,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2,1.776,478,"76,723",215100,"145,912","$150,000 "
10023,New York,NY,New York-Newark-Jersey City,New York County,3,5.298,1568,"228,874",705600,"467,237","$470,000 "
77494,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,4,0.802,114,"34,646",51300,"42,973","$40,000 "
60614,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5,1.932,527,"83,462",237150,"160,306","$160,000 "
79936,El Paso,TX,El Paso,El Paso County,6,0.722,89,"31,190",40050,"35,620","$40,000 "
77449,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,7,0.79,94,"34,128",42300,"38,214","$40,000 "
77084,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,8,0.772,90,"33,350",40500,"36,925","$40,000 "
10002,New York,NY,New York-Newark-Jersey City,New York County,9,5.118,1391,"221,098",625950,"423,524","$420,000 "
10467,New York,NY,New York-Newark-Jersey City,Bronx County,10,1.296,273,"55,987",122850,"89,419","$90,000 "
60640,Chicago,IL,Chicago-Naperville-Elgin,Cook County,11,1.562,405,"67,478",182250,"124,864","$120,000 "
11226,New York,NY,New York-Newark-Jersey City,Kings County,12,1.594,581,"68,861",261450,"165,155","$170,000 "
94109,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,13,4.424,1181,"191,117",531450,"361,283","$360,000 "
10016,New York,NY,New York-Newark-Jersey City,New York County,14,4.97,1293,"214,704",581850,"398,277","$400,000 "
37013,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,15,0.896,129,"38,707",58050,"48,379","$50,000 "
78660,Pflugerville,TX,Austin-Round Rock,Travis County,16,0.846,127,"36,547",57150,"46,849","$50,000 "
11375,New York,NY,New York-Newark-Jersey City,Queens County,17,1.662,688,"71,798",309600,"190,699","$190,000 "
11235,New York,NY,New York-Newark-Jersey City,Kings County,18,1.946,597,"84,067",268650,"176,359","$180,000 "
60647,Chicago,IL,Chicago-Naperville-Elgin,Cook County,19,1.69,339,"73,008",152550,"112,779","$110,000 "
90250,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,20,2.24,495,"96,768",222750,"159,759","$160,000 "
