RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Rent per Square Foot,Price per Sqft,Rent Based Estimate,Sale Based Estimate,Exact Average,Abodu Estimate
61639,10025,New York,NY,New York-Newark-Jersey City,New York County,1,4.426,1302,"210,324",644490,"427,407","430,000"
84654,60657,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2,1.776,478,"84,396",236610,"160,503","160,000"
61637,10023,New York,NY,New York-Newark-Jersey City,New York County,3,5.298,1568,"251,761",776160,"513,960","510,000"
91982,77494,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,4,0.802,114,"38,111",56430,"47,271","50,000"
84616,60614,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5,1.932,527,"91,809",260865,"176,337","180,000"
93144,79936,El Paso,TX,El Paso,El Paso County,6,0.722,89,"34,309",44055,"39,182","40,000"
91940,77449,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,7,0.79,94,"37,541",46530,"42,035","40,000"
91733,77084,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,8,0.772,90,"36,685",44550,"40,618","40,000"
61616,10002,New York,NY,New York-Newark-Jersey City,New York County,9,5.118,1391,"243,207",688545,"465,876","470,000"
61807,10467,New York,NY,New York-Newark-Jersey City,Bronx County,10,1.296,273,"61,586",135135,"98,360","100,000"
84640,60640,Chicago,IL,Chicago-Naperville-Elgin,Cook County,11,1.562,405,"74,226",200475,"137,351","140,000"
62037,11226,New York,NY,New York-Newark-Jersey City,Kings County,12,1.594,581,"75,747",287595,"181,671","180,000"
97564,94109,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,13,4.424,1181,"210,228",584595,"397,412","400,000"
61630,10016,New York,NY,New York-Newark-Jersey City,New York County,14,4.97,1293,"236,174",640035,"438,105","440,000"
74101,37013,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,15,0.896,129,"42,578",63855,"53,216","50,000"
92593,78660,Pflugerville,TX,Austin-Round Rock,Travis County,16,0.846,127,"40,202",62865,"51,533","50,000"
62087,11375,New York,NY,New York-Newark-Jersey City,Queens County,17,1.662,688,"78,978",340560,"209,769","210,000"
62045,11235,New York,NY,New York-Newark-Jersey City,Kings County,18,1.946,597,"92,474",295515,"193,994","190,000"
84646,60647,Chicago,IL,Chicago-Naperville-Elgin,Cook County,19,1.69,339,"80,309",167805,"124,057","120,000"
96107,90250,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,20,2.24,495,"106,445",245025,"175,735","180,000"
74242,37211,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,21,1.036,162,"49,231",80190,"64,710","60,000"
61643,10029,New York,NY,New York-Newark-Jersey City,New York County,22,3.814,958,"181,241",474210,"327,726","330,000"
61623,10009,New York,NY,New York-Newark-Jersey City,New York County,23,5.02,1425,"238,550",705375,"471,963","470,000"
84620,60618,Chicago,IL,Chicago-Naperville-Elgin,Cook County,24,1.772,355,"84,205",175725,"129,965","130,000"
61625,10011,New York,NY,New York-Newark-Jersey City,New York County,25,5.712,1703,"271,434",842985,"557,210","560,000"
92036,77573,League City,TX,Houston-The Woodlands-Sugar Land,Galveston County,26,0.878,113,"41,723",55935,"48,829","50,000"
92045,77584,Pearland,TX,Houston-The Woodlands-Sugar Land,Brazoria County,27,0.802,109,"38,111",53955,"46,033","50,000"
61703,10128,New York,NY,New York-Newark-Jersey City,New York County,28,4.4,1237,"209,088",612315,"410,702","410,000"
62012,11201,New York,NY,New York-Newark-Jersey City,Kings County,29,3.846,,"182,762",,"182,762","180,000"
66126,20002,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,30,2.266,548,"107,680",271260,"189,470","190,000"
92271,78130,New Braunfels,TX,San Antonio-New Braunfels,Comal County,31,0.932,137,"44,289",67815,"56,052","60,000"
69816,28269,Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,32,0.77,111,"36,590",54945,"45,768","50,000"
92551,78613,Cedar Park,TX,Austin-Round Rock,Williamson County,33,0.814,139,"38,681",68805,"53,743","50,000"
92515,78572,Mission,TX,McAllen-Edinburg-Mission,Hidalgo County,34,0.764,76,"36,305",37620,"36,963","40,000"
97771,94565,Pittsburg,CA,San Francisco-Oakland-Hayward,Contra Costa County,35,1.574,285,"74,796",141075,"107,936","110,000"
93123,79912,El Paso,TX,El Paso,El Paso County,36,0.73,98,"34,690",48510,"41,600","40,000"
71067,30349,Riverdale,GA,Atlanta-Sandy Springs-Roswell,Clayton County,37,0.696,75,"33,074",37125,"35,099","40,000"
96027,90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,38,3.24,887,"153,965",439065,"296,515","300,000"
66133,20009,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,39,3.172,654,"150,733",323730,"237,232","240,000"
90654,75052,Grand Prairie,TX,Dallas-Fort Worth-Arlington,Dallas County,40,0.846,112,"40,202",55440,"47,821","50,000"
74126,37042,Clarksville,TN,Clarksville,Montgomery County,41,0.714,97,"33,929",48015,"40,972","40,000"
91926,77433,Cypress,TX,Houston-The Woodlands-Sugar Land,Harris County,42,0.776,102,"36,876",50490,"43,683","40,000"
89925,73099,Yukon,OK,Oklahoma City,Canadian County,43,0.756,97,"35,925",48015,"41,970","40,000"
61802,10462,New York,NY,New York-Newark-Jersey City,Bronx County,44,2.464,235,"117,089",116325,"116,707","120,000"
61796,10456,New York,NY,New York-Newark-Jersey City,Bronx County,45,1.772,274,"84,205",135630,"109,918","110,000"
62017,11206,New York,NY,New York-Newark-Jersey City,Kings County,46,2.106,,"100,077",,"100,077","100,000"
91922,77429,Cypress,TX,Houston-The Woodlands-Sugar Land,Harris County,47,0.768,101,"36,495",49995,"43,245","40,000"
61617,10003,New York,NY,New York-Newark-Jersey City,New York County,48,5.668,1700,"269,343",841500,"555,422","560,000"
91968,77479,Sugar Land,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,49,0.814,123,"38,681",60885,"49,783","50,000"
70829,30044,Lawrenceville,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,50,0.788,102,"37,446",50490,"43,968","40,000"
86026,63376,Saint Peters,MO,St. Louis,Saint Charles County,51,1.018,141,"48,375",69795,"59,085","60,000"
84615,60613,Chicago,IL,Chicago-Naperville-Elgin,Cook County,52,1.694,485,"80,499",240075,"160,287","160,000"
91685,77036,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,53,0.9,85,"42,768",42075,"42,422","40,000"
61803,10463,New York,NY,New York-Newark-Jersey City,Bronx County,54,1.538,484,"73,086",239580,"156,333","160,000"
70828,30043,Lawrenceville,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,55,0.734,105,"34,880",51975,"43,427","40,000"
62023,11212,New York,NY,New York-Newark-Jersey City,Kings County,56,1.994,377,"94,755",186615,"140,685","140,000"
62040,11230,New York,NY,New York-Newark-Jersey City,Kings County,57,1.364,667,"64,817",330165,"197,491","200,000"
84627,60625,Chicago,IL,Chicago-Naperville-Elgin,Cook County,58,1.558,291,"74,036",144045,"109,041","110,000"
62020,11209,New York,NY,New York-Newark-Jersey City,Kings County,59,1.558,692,"74,036",342540,"208,288","210,000"
84630,60629,Chicago,IL,Chicago-Naperville-Elgin,Cook County,60,1.374,152,"65,292",75240,"70,266","70,000"
69823,28277,Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,61,0.83,146,"39,442",72270,"55,856","60,000"
60545,7030,Hoboken,NJ,New York-Newark-Jersey City,Hudson County,62,3.07,725,"145,886",358875,"252,381","250,000"
92341,78245,San Antonio,TX,San Antonio-New Braunfels,Bexar County,63,0.768,102,"36,495",50490,"43,493","40,000"
90823,75287,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,64,0.994,152,"47,235",75240,"61,237","60,000"
92617,78704,Austin,TX,Austin-Round Rock,Travis County,65,1.76,372,"83,635",184140,"133,888","130,000"
94748,85032,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,66,1.032,180,"49,041",89100,"69,070","70,000"
61638,10024,New York,NY,New York-Newark-Jersey City,New York County,67,4.854,1459,"230,662",722205,"476,434","480,000"
84612,60610,Chicago,IL,Chicago-Naperville-Elgin,Cook County,68,2.112,468,"100,362",231660,"166,011","170,000"
62032,11221,New York,NY,New York-Newark-Jersey City,Kings County,69,1.298,634,"61,681",313830,"187,755","190,000"
72463,33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,70,1.842,269,"87,532",133155,"110,343","110,000"
67732,23464,Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,71,0.89,143,"42,293",70785,"56,539","60,000"
91726,77077,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,72,0.96,134,"45,619",66330,"55,975","60,000"
70874,30096,Duluth,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,73,0.862,122,"40,962",60390,"50,676","50,000"
66843,21234,Parkville,MD,Baltimore-Columbia-Towson,Baltimore County,74,1.264,158,"60,065",78210,"69,138","70,000"
90795,75243,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,75,1.07,128,"50,846",63360,"57,103","60,000"
99534,98052,Redmond,WA,Seattle-Tacoma-Bellevue,King County,76,1.402,409,"66,623",202455,"134,539","130,000"
62025,11214,New York,NY,New York-Newark-Jersey City,Kings County,77,1.768,597,"84,015",295515,"189,765","190,000"
92481,78521,Brownsville,TX,Brownsville-Harlingen,Cameron County,78,0.73,59,"34,690",29205,"31,947","30,000"
97711,94501,Alameda,CA,San Francisco-Oakland-Hayward,Alameda County,79,2.342,659,"111,292",326205,"218,748","220,000"
91889,77379,Spring,TX,Houston-The Woodlands-Sugar Land,Harris County,80,0.734,94,"34,880",46530,"40,705","40,000"
61148,8701,Lakewood,NJ,New York-Newark-Jersey City,Ocean County,81,1.108,165,"52,652",81675,"67,164","70,000"
61633,10019,New York,NY,New York-Newark-Jersey City,New York County,82,5.392,1498,"256,228",741510,"498,869","500,000"
62018,11207,New York,NY,New York-Newark-Jersey City,Kings County,83,1.958,381,"93,044",188595,"140,820","140,000"
92598,78666,San Marcos,TX,Austin-Round Rock,Hays County,84,0.978,140,"46,475",69300,"57,887","60,000"
70810,30024,Suwanee,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,85,0.764,128,"36,305",63360,"49,833","50,000"
62039,11229,New York,NY,New York-Newark-Jersey City,Kings County,86,1.57,548,"74,606",271260,"172,933","170,000"
72578,33411,Royal Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,87,1.204,159,"57,214",78705,"67,960","70,000"
92654,78745,Austin,TX,Austin-Round Rock,Travis County,88,1.242,228,"59,020",112860,"85,940","90,000"
84621,60619,Chicago,IL,Chicago-Naperville-Elgin,Cook County,89,1.244,104,"59,115",51480,"55,297","60,000"
97565,94110,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,90,3.858,1189,"183,332",588555,"385,944","390,000"
72363,33025,Miramar,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,91,1.37,179,"65,102",88605,"76,854","80,000"
96015,90034,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,92,2.962,848,"140,754",419760,"280,257","280,000"
72442,33139,Miami Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,93,2.896,472,"137,618",233640,"185,629","190,000"
77007,44107,Lakewood,OH,Cleveland-Elyria,Cuyahoga County,94,0.942,128,"44,764",63360,"54,062","50,000"
69672,28027,Concord,NC,Charlotte-Concord-Gastonia,Cabarrus County,95,0.786,118,"37,351",58410,"47,880","50,000"
90665,75067,Lewisville,TX,Dallas-Fort Worth-Arlington,Denton County,96,1.014,145,"48,185",71775,"59,980","60,000"
67730,23462,Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,97,0.91,129,"43,243",63855,"53,549","50,000"
62088,11377,New York,NY,New York-Newark-Jersey City,Queens County,98,1.76,588,"83,635",291060,"187,348","190,000"
58669,2169,Quincy,MA,Boston-Cambridge-Newton,Norfolk County,99,1.838,334,"87,342",165330,"126,336","130,000"
79054,48197,Ypsilanti,MI,Ann Arbor,Washtenaw County,100,1.042,130,"49,516",64350,"56,933","60,000"
87074,66062,Olathe,KS,Kansas City,Johnson County,101,0.998,146,"47,425",72270,"59,847","60,000"
76953,44035,Elyria,OH,Cleveland-Elyria,Lorain County,102,0.698,77,"33,169",38115,"35,642","40,000"
96025,90044,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,103,2.128,362,"101,123",179190,"140,156","140,000"
98325,95630,Folsom,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,104,1.192,270,"56,644",133650,"95,147","100,000"
96239,90805,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,105,2.122,407,"100,837",201465,"151,151","150,000"
95048,85710,Tucson,AZ,Tucson,Pima County,106,0.76,113,"36,115",55935,"46,025","50,000"
96193,90650,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,107,1.988,397,"94,470",196515,"145,492","150,000"
84613,60611,Chicago,IL,Chicago-Naperville-Elgin,Cook County,108,2.108,,"100,172",,"100,172","100,000"
96990,92683,Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange County,109,1.986,416,"94,375",205920,"150,147","150,000"
62044,11234,New York,NY,New York-Newark-Jersey City,Kings County,110,1.668,454,"79,263",224730,"151,997","150,000"
65810,19143,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,111,0.93,,"44,194",,"44,194","40,000"
62067,11355,New York,NY,New York-Newark-Jersey City,Queens County,112,2.204,694,"104,734",343530,"224,132","220,000"
84619,60617,Chicago,IL,Chicago-Naperville-Elgin,Cook County,113,1.246,98,"59,210",48510,"53,860","50,000"
74156,37075,Hendersonville,TN,Nashville-Davidson--Murfreesboro--Franklin,Sumner County,114,0.842,179,"40,012",88605,"64,308","60,000"
61790,10314,New York,NY,New York-Newark-Jersey City,Richmond County,115,1.606,375,"76,317",185625,"130,971","130,000"
71005,30281,Stockbridge,GA,Atlanta-Sandy Springs-Roswell,Henry County,116,0.71,86,"33,739",42570,"38,155","40,000"
62022,11211,New York,NY,New York-Newark-Jersey City,Kings County,117,3.032,1088,"144,081",538560,"341,320","340,000"
62026,11215,New York,NY,New York-Newark-Jersey City,Kings County,118,2.858,1128,"135,812",558360,"347,086","350,000"
96007,90026,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,119,2.628,748,"124,883",370260,"247,571","250,000"
97764,94558,Napa,CA,Napa,Napa County,120,1.918,425,"91,143",210375,"150,759","150,000"
93263,80134,Parker,CO,Denver-Aurora-Lakewood,Douglas County,121,1.192,218,"56,644",107910,"82,277","80,000"
95309,87114,Albuquerque,NM,Albuquerque,Bernalillo County,122,0.696,144,"33,074",71280,"52,177","50,000"
96545,91910,Chula Vista,CA,San Diego-Carlsbad,San Diego County,123,1.568,317,"74,511",156915,"115,713","120,000"
60081,6010,Bristol,CT,Hartford-West Hartford-East Hartford,Hartford County,124,1.094,132,"51,987",65340,"58,663","60,000"
97431,93722,Fresno,CA,Fresno,Fresno County,125,0.882,156,"41,913",77220,"59,566","60,000"
92336,78240,San Antonio,TX,San Antonio-New Braunfels,Bexar County,126,0.842,112,"40,012",55440,"47,726","50,000"
76511,43081,Westerville,OH,Columbus,Franklin County,127,0.938,131,"44,574",64845,"54,709","50,000"
65133,17603,Lancaster,PA,Lancaster,Lancaster County,128,0.872,118,"41,437",58410,"49,924","50,000"
95804,89108,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,129,0.882,156,"41,913",77220,"59,566","60,000"
94890,85308,Glendale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,130,0.856,157,"40,677",77715,"59,196","60,000"
94870,85281,Tempe,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,131,1.156,197,"54,933",97515,"76,224","80,000"
95306,87111,Albuquerque,NM,Albuquerque,Bernalillo County,132,0.774,151,"36,780",74745,"55,763","60,000"
79040,48180,Taylor,MI,Detroit-Warren-Dearborn,Wayne County,133,0.9,90,"42,768",44550,"43,659","40,000"
73221,34787,Winter Garden,FL,Orlando-Kissimmee-Sanford,Orange County,134,0.922,141,"43,813",69795,"56,804","60,000"
99142,97229,Portland,OR,Portland-Vancouver-Hillsboro,Multnomah County,135,1.13,243,"53,698",120285,"86,991","90,000"
97740,94533,Fairfield,CA,Vallejo-Fairfield,Solano County,136,1.364,253,"64,817",125235,"95,026","100,000"
91221,76063,Mansfield,TX,Dallas-Fort Worth-Arlington,Tarrant County,137,0.864,119,"41,057",58905,"49,981","50,000"
64180,15601,Greensburg,PA,Pittsburgh,Westmoreland County,138,0.736,,"34,975",,"34,975","30,000"
91950,77459,Missouri City,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,139,0.744,103,"35,355",50985,"43,170","40,000"
96467,91709,Chino Hills,CA,Riverside-San Bernardino-Ontario,San Bernardino County,140,1.592,349,"75,652",172755,"124,203","120,000"
76491,43055,Newark,OH,Columbus,Licking County,141,0.756,101,"35,925",49995,"42,960","40,000"
98304,95608,Carmichael,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,142,1.178,245,"55,979",121275,"88,627","90,000"
93146,79938,El Paso,TX,El Paso,El Paso County,143,0.7,92,"33,264",45540,"39,402","40,000"
94940,85364,Yuma,AZ,Yuma,Yuma County,144,0.678,101,"32,219",49995,"41,107","40,000"
76971,44060,Mentor,OH,Cleveland-Elyria,Lake County,145,0.8,104,"38,016",51480,"44,748","40,000"
62048,11238,New York,NY,New York-Newark-Jersey City,Kings County,146,3.062,1044,"145,506",516780,"331,143","330,000"
76534,43123,Grove City,OH,Columbus,Franklin County,147,0.892,120,"42,388",59400,"50,894","50,000"
92520,78577,Pharr,TX,McAllen-Edinburg-Mission,Hidalgo County,148,0.764,72,"36,305",35640,"35,973","40,000"
93203,80013,Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,149,1.398,232,"66,433",114840,"90,636","90,000"
72362,33024,Pembroke Pines,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,150,1.402,214,"66,623",105930,"86,277","90,000"
72901,33908,Fort Myers,FL,Cape Coral-Fort Myers,Lee County,151,1.328,157,"63,107",77715,"70,411","70,000"
62093,11385,New York,NY,New York-Newark-Jersey City,Queens County,152,1.69,510,"80,309",252450,"166,379","170,000"
90657,75056,The Colony,TX,Dallas-Fort Worth-Arlington,Denton County,153,0.922,140,"43,813",69300,"56,557","60,000"
99500,98012,Bothell,WA,Seattle-Tacoma-Bellevue,Snohomish County,154,1.178,296,"55,979",146520,"101,249","100,000"
96047,90066,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,155,3.264,941,"155,105",465795,"310,450","310,000"
66705,20906,Silver Spring,MD,Washington-Arlington-Alexandria,Montgomery County,156,1.456,223,"69,189",110385,"89,787","90,000"
91198,76028,Burleson,TX,Dallas-Fort Worth-Arlington,Johnson County,157,0.902,119,"42,863",58905,"50,884","50,000"
63776,14850,Ithaca,NY,Ithaca,Tompkins County,158,1.216,153,"57,784",75735,"66,760","70,000"
72737,33647,Tampa,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,159,0.858,126,"40,772",62370,"51,571","50,000"
96987,92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange County,160,1.908,436,"90,668",215820,"153,244","150,000"
70825,30040,Cumming,GA,Atlanta-Sandy Springs-Roswell,Forsyth County,161,0.774,138,"36,780",68310,"52,545","50,000"
69431,27587,Wake Forest,NC,Raleigh,Wake County,162,0.77,132,"36,590",65340,"50,965","50,000"
77094,44256,Medina,OH,Cleveland-Elyria,Medina County,163,0.85,117,"40,392",57915,"49,154","50,000"
58660,2148,Malden,MA,Boston-Cambridge-Newton,Middlesex County,164,1.728,336,"82,115",166320,"124,217","120,000"
87019,65807,Springfield,MO,Springfield,Greene County,165,0.618,91,"29,367",45045,"37,206","40,000"
84622,60620,Chicago,IL,Chicago-Naperville-Elgin,Cook County,166,1.232,104,"58,545",51480,"55,012","60,000"
62085,11373,New York,NY,New York-Newark-Jersey City,Queens County,167,2.138,595,"101,598",294525,"198,061","200,000"
98432,95823,Sacramento,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,168,1.14,196,"54,173",97020,"75,596","80,000"
60499,6902,Stamford,CT,Bridgeport-Stamford-Norwalk,Fairfield County,169,1.774,243,"84,300",120285,"102,293","100,000"
